◇ injected env (9) from .env // tip: ⌘ custom filepath { path: '/custom/path/.env' }
◇ injected env (0) from .env // tip: ◈ encrypted .env [www.dotenvx.com]
Connecting DB: {
  server: 'TUNGLAI',
  instance: null,
  port: null,
  database: 'ToeicVocabularyPlatform',
  auth: 'windows'
}
Attempting to start server...
Server successfully started on port 3001
DB Connected
[2026-06-21T16:52:13.596Z] GET /api/admin/questions/2039?page=1&limit=100
[2026-06-21T16:52:13.616Z] GET /api/admin/questions/2038?page=1&limit=100
[2026-06-21T16:52:13.621Z] GET /api/admin/questions/2039?page=1&limit=100
[2026-06-21T16:52:13.643Z] GET /api/admin/questions/2038?page=1&limit=100
[2026-06-21T16:52:13.646Z] GET /api/admin/questions/2037?page=1&limit=100
[2026-06-21T16:52:13.676Z] GET /api/admin/questions/2037?page=1&limit=100
[2026-06-21T16:52:13.680Z] GET /api/admin/questions/2036?page=1&limit=100
[2026-06-21T16:52:13.710Z] GET /api/admin/questions/2036?page=1&limit=100
[2026-06-21T16:52:13.719Z] GET /api/admin/questions/2035?page=1&limit=100
[2026-06-21T16:52:13.755Z] GET /api/admin/questions/2035?page=1&limit=100
[2026-06-21T16:52:13.760Z] GET /api/admin/questions/2034?page=1&limit=100
[2026-06-21T16:52:13.789Z] GET /api/admin/questions/2034?page=1&limit=100
[2026-06-21T16:52:13.793Z] GET /api/admin/questions/2033?page=1&limit=100
[2026-06-21T16:52:13.824Z] GET /api/admin/questions/2032?page=1&limit=100
[2026-06-21T16:52:13.829Z] GET /api/admin/questions/2033?page=1&limit=100
[2026-06-21T16:52:13.856Z] GET /api/admin/questions/2032?page=1&limit=100
[2026-06-21T16:52:13.860Z] GET /api/admin/questions/2031?page=1&limit=100
[2026-06-21T16:52:13.888Z] GET /api/admin/questions/2030?page=1&limit=100
[2026-06-21T16:52:13.892Z] GET /api/admin/questions/2031?page=1&limit=100
[2026-06-21T16:52:13.916Z] GET /api/admin/questions/2029?page=1&limit=100
[2026-06-21T16:52:13.925Z] GET /api/admin/questions/2030?page=1&limit=100
[2026-06-21T16:52:13.948Z] GET /api/admin/questions/2028?page=1&limit=100
[2026-06-21T16:52:13.957Z] GET /api/admin/questions/2029?page=1&limit=100
[2026-06-21T16:52:13.983Z] GET /api/admin/questions/2027?page=1&limit=100
[2026-06-21T16:52:13.993Z] GET /api/admin/questions/2028?page=1&limit=100
[2026-06-21T16:52:14.013Z] GET /api/admin/questions/2026?page=1&limit=100
[2026-06-21T16:52:14.015Z] GET /api/admin/questions/2027?page=1&limit=100
[2026-06-21T16:52:14.032Z] GET /api/admin/questions/2025?page=1&limit=100
[2026-06-21T16:52:14.034Z] GET /api/admin/questions/2026?page=1&limit=100
[2026-06-21T16:52:14.051Z] GET /api/admin/questions/2025?page=1&limit=100
[2026-06-21T16:52:14.054Z] GET /api/admin/questions/2024?page=1&limit=100
[2026-06-21T16:52:14.083Z] GET /api/admin/questions/2024?page=1&limit=100
[2026-06-21T16:52:14.088Z] GET /api/admin/questions/2023?page=1&limit=100
[2026-06-21T16:52:14.119Z] GET /api/admin/questions/2023?page=1&limit=100
[2026-06-21T16:52:14.125Z] GET /api/admin/questions/2022?page=1&limit=100
[2026-06-21T16:52:14.159Z] GET /api/admin/questions/2021?page=1&limit=100
[2026-06-21T16:52:14.163Z] GET /api/admin/questions/2022?page=1&limit=100
[2026-06-21T16:52:14.204Z] GET /api/admin/questions/2020?page=1&limit=100
[2026-06-21T16:52:14.209Z] GET /api/admin/questions/2021?page=1&limit=100
[2026-06-21T16:52:14.257Z] GET /api/admin/questions/2020?page=1&limit=100
[2026-06-21T16:52:14.263Z] GET /api/admin/questions/2019?page=1&limit=100
[2026-06-21T16:52:14.301Z] GET /api/admin/questions/2018?page=1&limit=100
[2026-06-21T16:52:14.304Z] GET /api/admin/questions/2019?page=1&limit=100
[2026-06-21T16:52:14.344Z] GET /api/admin/questions/2017?page=1&limit=100
[2026-06-21T16:52:14.350Z] GET /api/admin/questions/2018?page=1&limit=100
[2026-06-21T16:52:14.393Z] GET /api/admin/questions/2017?page=1&limit=100
[2026-06-21T16:52:14.398Z] GET /api/admin/questions/2016?page=1&limit=100
[2026-06-21T16:52:14.429Z] GET /api/admin/questions/2015?page=1&limit=100
[2026-06-21T16:52:14.432Z] GET /api/admin/questions/2016?page=1&limit=100
[2026-06-21T16:52:14.458Z] GET /api/admin/questions/2014?page=1&limit=100
[2026-06-21T16:52:14.469Z] GET /api/admin/questions/2015?page=1&limit=100
[2026-06-21T16:52:14.492Z] GET /api/admin/questions/2013?page=1&limit=100
[2026-06-21T16:52:14.501Z] GET /api/admin/questions/2014?page=1&limit=100
[2026-06-21T16:52:14.522Z] GET /api/admin/questions/2012?page=1&limit=100
[2026-06-21T16:52:14.529Z] GET /api/admin/questions/2013?page=1&limit=100
[2026-06-21T16:52:14.554Z] GET /api/admin/questions/2011?page=1&limit=100
